Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
1,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
2,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
3,0.963006,0.978649,0.960204,0.945196,0.938773,0.287310,0.287310,1.000000,1.000000,1.000000,1.000000,89.787605,
4,0.968320,0.983032,0.968331,0.953245,0.936375,0.602731,0.602731,1.000000,1.000000,1.000000,1.000000,91.371590,
5,0.965613,0.980095,0.963246,0.949243,0.942964,0.773851,0.773851,1.000000,1.000000,1.000000,1.000000,91.018595,
6,0.964704,0.980551,0.964223,0.949894,0.931216,0.676674,0.915012,1.000000,1.000000,1.000000,1.000000,90.688542,
7,0.962363,0.979435,0.962048,0.945918,0.927363,0.676674,0.676674,0.999999,1.000000,1.000000,1.000000,90.181258,
8,0.962251,0.983099,0.966172,0.942803,0.911325,0.950659,0.950659,0.999854,0.999999,0.999999,0.999999,90.530567,
9,0.963118,0.981422,0.963361,0.945600,0.927605,1.488719,1.488719,0.997058,0.999998,0.999999,0.999999,91.447217,
10,0.977786,0.984348,0.976395,0.971793,0.968505,1.492313,1.492313,0.989554,0.999991,0.999998,0.999999,94.634685,
11,0.977344,0.983758,0.975315,0.971827,0.969616,1.579457,1.579457,0.977252,0.999970,0.999997,0.999998,94.645837,
12,0.975376,0.985048,0.974122,0.964484,0.964576,1.817942,1.817942,0.960819,0.999534,0.999897,0.999973,94.516811,
13,0.975283,0.984269,0.974182,0.965663,0.965342,1.916249,1.918228,0.949920,0.999049,0.999735,0.999884,94.603145,
14,0.978442,0.985736,0.975841,0.971196,0.973265,1.916249,1.916249,0.943577,0.999071,0.999807,0.999919,95.293040,
15,0.979190,0.986014,0.975766,0.972024,0.977061,2.253764,2.253764,0.935543,0.998356,0.999581,0.999779,95.876760,
16,0.977839,0.984439,0.973337,0.971746,0.977115,2.321675,2.321675,0.930321,0.998035,0.999533,0.999764,95.663313,
17,0.979611,0.984632,0.974091,0.975041,0.982508,2.532578,2.625440,0.924877,0.998290,0.999810,0.999988,96.358093,
